Quest,Review,Popular,Another,Questslink
Помогите найти фильм,"Помогите найти фильм, где моряки терпят кораблекрушение, долго находятся в воде и на них нападают акулы.",Индианаполис ? ЭЭЭ ОТКРОЙ АЛЕНУ ! и никогда не делай больше так. люди тебе помочь хотят а ты их скрываешь. это по козлиному. в категории себя так не ведут.,[],https://otvet.mail.ru/question/234021725
Помогите найти фильм по подсказкам,"Помогите найти фильм по описанию \n \nНужно найти название фильма по следующим подсказкам (это всё что я о нём помню) -фильм относительно старый, не позже 2013-го -там большой и лысый сильный парень которого все боятся в тюрьме если он психанёт -этот парень попадает в тюрьму (но сам фильм не про тюрьму, а боевик больше про мафию что ли, в таком духе, ну т.е не весь фильм в тюрьме) -мужик этот лысый и сильный постоянно любит утром омлет себе делать, любит слушать классическую музыку (вроде бы Бетховена) -в какой-то момент он отправляет свою жену или девушку в Париж -жена его (или девушка) рисует картины. Она нарисовала кролика и зовут её вроде бы Елена.",Непослушник,[],https://otvet.mail.ru/question/231423422
,"Найти фильм про детдомовцев, которые сбежали. Но один кинул другого, когда они сбежали. Поэтому второй когда вырос решил отомстить первому и похитил его сына. Фильм вроде российский. Еще там про сгущенку есть сцена. Подскажите как называется пожалуйста",0,[],https://otvet.mail.ru/question/231069536
,"Помогите, пожалуйста, найти фильм ужасов (или триллер) по описанию. Фильм достаточно старый. Точно не знаю, но мне кажется, по моим ощущениям, фильм конца 90-х начала 2000-х годов. Вряд ли фильм позднее 2005 года, так как смотрел я его давно, в далеком детстве - где-то в 2003-2004 году. Сам фильм плохо помню, но хорошо запомнилась сцена (уже где-то во второй половине фильма), в которой убийца (мужчина средних лет, примерно 40-50 лет с немного длинными волосами где-то почти до плеч) ищет девушку, чтобы убить. Эта девушка спряталась от него в одном из контейнеров что-ли, похожих на мусорные. Но этих контейнеров было много. Само действие в этой сцене было где-то в безлюдном месте. Толи на стоянке, толи в подвале с контейнерами, не помню. Так вот. Убийца принялся тупо по очереди открывать все эти контейнеры, пока в одном из них не оказалась девушка. Она закричала. Дальше не помню, наверное, он ее убил. Также в конце фильма, кажется, бы пожар и этот убийца сгорел в доме. Если не ошибаюсь, его подожгли главные герои (или герой) фильма, которые спаслись. Но это не точно. Просто плохо помню. Если подскажете, что за фильм, буду вам очень благодарен! -)))",дом восковых фигур,[],https://otvet.mail.ru/question/230139701
Помогите найти фильм или сериал,"Видел только один раз, в 2021 году или 2022 в качестве рекламного ролика. Отечественный, относительно новый, вроде как сериал, время вроде бы как дореволюционное, в главной роли то ли санитар, то ли врач, был одет в коричневую одежду. Фильм понравился кадрами, редкий случай",Воскресенский (сериал 2021)\n https//www.kinopoisk.ru/series/1223274/,"['Опиши что ты видел какие моменты!', 'Может быть ликвидация']",https://otvet.mail.ru/question/229346579
Помогите найти фильм про ленивую девочку и волшебную страну,"Фильм про ленивую девочку, которая часто расстраивала своих родителей. Родители загадали желание",О помню! а название.... не помню...,['страна хороших деточек. тупорылый фильм. реально легенда острова двид по книге на много интереснее. а еще интереснее земленыр или каскад приключений там вообще как в сталкере аномалии и персонажи гибнут мучительно.'],https://otvet.mail.ru/question/229411409
Помогите найти фильм,"Фильм о том, что сын ненавидел, либо его просто бесила его мать. \nПомню только момент, где они ели, и мать очень мерзко ела и мальчика это бесило, помню ещё что он был подростком, она отвозила его в школу на машине. помогите найти,пожалуйста.","реальная жизнь, у тебя мать есть же",[],https://otvet.mail.ru/question/232245199
Помогите найти фильм,"Уже очень долгое время не могу найти один фильм ужасов.\n \nПо стилистике напоминает хоррор-фильм 90-х, но, возможно, он и более новый.\n \nГруппа друзей собирается в доме, чтобы то ли что-то отметить, то ли просто воссоединиться после длительного периода. Среди них есть жених и невеста, и все из этой компании не любят эту невесту (возможно, они над ней издевались в период учебы, но это не точно). Далее невеста начинает находить этих друзей мертвыми по одному, но по ходу сюжета оказывается, что они просто решили её разыграть таким образом. Однако кто-то из присутствующих начал убивать их на самом деле.\n \n \nВ конце фильма оказывается, что убийцей оказался жених. Он и невеста сидят за столом и ужинают, пьют вино (не смотря на идиллию, в этот момент чувствовалось напряжение), и жених говорит, что он её брат,",Табу (2002)\n\n https//www.kinopoisk.ru/film/4302/ \n\n https//ok.ru/video/1328420620857,[],https://otvet.mail.ru/question/230090591
,"Ищу фильм/сериал (точно не помню), вроде бы он был про Рождество (его и крутили по телеку в этом время). Гг была, если не ошибаюсь, девочкой сиротой, живущей в приюте. Самый запоминающийся момент, - то, как воспитательница сожгла в печи игрушку другой девочки. Как вы уже поняли воспитательница была отрицательным персонажем. Больше, к сожалению, ничего не помню (.\n Он очень старый, думаю",Про санту хорошие мультики Клаус и Хранители снов,"['о боже мой что у тебя в голове... санта значит святой латынь не склоняется. он катался на оленей упряжке а не собачьей он не чукча.  10 лет это не старый фильм...', 'Один из этих фильмов\\n\\n10 фильмов про Санта-Клауса, которые поднимут вам настроение\\n https//lifehacker.ru/filmy-pro-santa-klausa/', 'В поисках Санта Лапуса (2010)\\n https//www.kinopoisk.ru/film/485775/']",https://otvet.mail.ru/question/234703493
,"Фильму 10-15 лет на мой взгляд. Не порнуха. Женщина еще рядом поставила фото его жены. Мужчина сидит на стуле и отказывается. Возможно ограбление. У женщины темные волосы собраны в хвост. Она в красном платье, возможно латекс. Думаю боевик. Случайно в тт увидел, но сбросил.",Миньоны,[],https://otvet.mail.ru/question/229168501
,"Помогите найти фильм или сериал. Видела много эдитов в тиктоке про какого-то парня в белой маске с девушкой, которая вроде бы была вынуждена помогать ему, хотя и боялась. Фильм относительно новый. Нет, это не Крик, не Майкл Майерс, не Вурхиз и другие, он не из культовых. Я уже в панике, всё набрала, но вижу по поиску всякую дичь. Я даже не знаю какого он формата, просто знаю, что там парень в белой маске нейтрального выражения лица и где-то прочитала, что произведение из двух частей, то ли фильм, то ли даже сериал. Короче всё, что имеем, это тикток эдиты.","Не знаю это ли и актуально ли , но тоже только что искала Кукла 2016",[],https://otvet.mail.ru/question/230840500
Помогите найти фильм по картинке,Доброго Времени Уважаемые. Помогите Пожалуйста найти фильм по фото(фрагмент из фильма) Зарание Спасибо.\n,\ Притяжение \ фильм 2017,"['гуглится как фильм \\Притяжение (2017)\\', 'Притяжение (2017)']",https://otvet.mail.ru/question/228392041
Ищу фильм х или нулевых,"В начале фильма мальчик тонет в бассейне и его мама начинает в панике кричать, но потом оказывается что мальчик пошутил и вылезает из бассеина мама его начинает ругать за такую шутку. Далее к ним в гости приезжает какая то парочка психов",Масло Лоренцо?,[],https://otvet.mail.ru/question/230363254
Помогите пожалуйста найти фильм по описанию,"Японский(вероятней всего)(или корейский) фильм про мужа, у которого умерла жена. Затем к нему пришла сама смерть(она была в образе женщины, которая ему вроде помогала. На вскидку ей было лет 25-35(самому актеру, а не герою). Вроде, она была в черной шляпе и довольно элегантно одета. Она сказала, что его жена умерла при очень странных обстоятельствах, т. к. тело не было найдено. Она отправила мужа умершей(исчезнувшей) жены в загробный мир на каком-то то ли корабле, то ли поезде (скорее всего это был поезд). Этот мир был вроде где-то высоко(над облаками?) и там были дома вроде как-бы в деревьях/на деревьях. Но как таковой земли не было. Как будто они в воздухе. И там он встретился со своими покойными родителями и о чем-то с ними поговорил. Они ещё его спросили, типа он что, то же умер? Но он сказал, что нет и что он жену ищет. Потом пошел дальше искать жену. Оказалось, что жену забрал какой-то монстр. Монстру очень понравилась чего жена, т. к. она была вроде очень красива. Затем муж пришел к этому монстру и вроде им с женой удалось от него сбежать. Потом вроде на какой-то высокой платформе он с кем-то сражался и в итоге, вроде, победил(не помню, с этим-же монстром или нет)(эта сцена была вроде кульминацией). Но чем именно закончился фильм - не помню\n \nЖанр - вроде фентези, точно драма/мелодрама.\n \nИ вроде у них в доме был какой-то дух(бог?), который приносил нищету. Но не уверен, из этого ли это фильма.","Этот фильм, вероятнее всего",[],https://otvet.mail.ru/question/232678113
,"В фильме был какой-то корабль, который летел в космосе, но был атакован какими-то \жуками\ механическими, они прожигали обшивку корабля \лазерами\ и проникали внутрь, в корабле были живые люди, и они старательно пытались от этих \жуков\ скрыться, закрывали отсек за отсеками, и вроде как \сжигали\ или врывали, но у них слабо получалось и они решили то ли заманить жуков на длинный коридор, то ли что-то в этом роде, и взорвать целый коридор. Корабль если я не ошибаюсь называется \Прометей\ или как-то так.... Фильм старый, годов 2010-х может и ранее. Не Прометей!",это сериал Звёздные врата Репликаторы,"['Затерянные в космосе', 'Фильм старый, годов 2010-х ...Ипать колотить...\\nСтарый- это годов 80-х прошлого века...\\nБольше на Матрицу похоже, но там не в космосе...', 'Космические дальнобойщики 1996год вроде!', 'По-любому \\Затерянные в космосе\\']",https://otvet.mail.ru/question/213799845
Помогите найти фильм пожалуйста,"Какой то что ли азиатский(может Корея, Китай",lil skies lust,[],https://otvet.mail.ru/question/229966896
Что романтичного кто то находит в фильме про Титаник,"Что романтичного кто то находит в фильме про Титаник?\n\nПростая история - нарочно утопили корабль ради страховой премии. При этом еще не дали спастись пассажирам, не пустив их в полупустые шлюпки.\n\nЧто вы романтичного находите в фильме про Титаник? Смаковать гибель жертв теракта это романтика?",Ты опять забываешь дефисы.,"['Ну там титаник об глыбу хдыщ, титаник бабах, а люди плак плак и конец', 'Мне понравилось как он тонет,это красиво.', 'Крушение я на этом моменте смеялся лохи', 'Вряд ли все происходило так,как нам показывают в фильме', 'Решил потроллить ? Твоё право. Но учти, кол-во Оскаров у Титаника не переплюнул даже Аватар...']",https://otvet.mail.ru/question/234065530
Помогите найти фильм,"Фильм конца 80 х или начала 90 х, смотрел по видеокассете в 2003 году, когда мне было 9 лет. В общем женщина попадает в тюрьму, там её встречают с агрессией три тюремщицы, одна из них главная - она в дальнейшем становится подругой этой женщине. Фильм зарубежный. Может кто знает название?",0,[],https://otvet.mail.ru/question/234210123
Ищу топовые фильмы,Ищу крутые фильмы на пару дней\nПодскажите несколько.,"Ограбление казино, Рождество на двоих, Список Шиндлера, Исходный код","['Жанр какой', 'Лунная афера', 'Бивень', 'Мир дикого запада - сериал', 'тело\\nсчастливое число слевина\\nпомнить\\nдикие истории', 'Пока ищешь']",https://otvet.mail.ru/question/225900792
Помогите найти фильм по описанию вн,"Русский фильм о том как главный герой мстит за смерть своего ребёнка. Его посадили (я не помню за что), после выхода из тюрьмы он начинает мстить всем, кто причастен к смерти. Его преследует милиция, с одним из милиционеров он столкнулся на кладбище, его ранили, но он дал отпор и сбежал. Его жена работала служанкой всё это время пока он сидел, у какого-то олигарха, который был причастен к смерти его ребёнка. В конце фильма они всё-таки отомстили всем кто был причастен в гибели ребёнка и уплыли на лодке. Что это за фильм?\nп.с. Извините за не совсем внятное описание, написал как вспомнил.",Без особых примет (2006)\nhttps//www.kinopoisk.ru/film/580694/\nНорм. описание)\n\nhttps//youtu.be/eHfXfxlcV0w,"['хонгильдон', 'может быть Непрощенный?']",https://otvet.mail.ru/question/228261533
,"Начинается так одна девушка и два парня, их ноутбук взломал какой-то чел Они узнали где он находится приехали к какой-то заброшке начали исследовать территорию их он похитил на следующий день они просыпаются в какой-то больнице это больница была под землёй они пытались сбежать и узнали что вместо место (людей врачей) были инопланетяне дальше только помню что они сбежали и сражались с инопланетянами в итоге они захватили мир",Сигнал (2014)\nhttps//www.kinopoisk.ru/film/762854/,[],https://otvet.mail.ru/question/227662952
Помогите найти фильм,"Сюжет фильма такой семья переезжает в новый дом и вдруг ребенок семьи (не помню точно дочка или сын) начинает видеть кота. Потом ребенок находит желтую (вроде) дверь и узнает тайну гибели кота. Оказалось, что его утопили предыдущие владельцы перед тем как переехать. Атмосфера фильм депрессивная. Нигде не могу найти этот фильм (","Кошка-привидение ?\n https//www.kinopoisk.ru/film/298204/ \nКот Глаза, которые видят смерть (2011)","['Кладбище домашних животных наверное', 'Шестое чувство']",https://otvet.mail.ru/question/234655982
,"Там подросток 13-14 лет из богатой семьи (фильм давнешний) приехал себе на лето. И в какой-то момент там началась война. \nВсе мужики уехали. \nИ потом он присунул мачехе,какой-то тете, жене брата и еще много кому. \nНазвание фильма ассоциируеться с дон жуаном или дон хуаном. \nНезнаю почему но мне кажется эти слова есть в названии.",0,[],https://otvet.mail.ru/question/232006508
Помогите найти фильм по описанию,"События разворачиваются в небольшом американском городке. Сюжет там такой девочка вместе со своей собакой приезжает к дяде, дядя механик и пожарный, они вообщем все вместе едут на рыбалку, там отпускают собаку погулять и собака приносит редкую банкноту прошлого века. Они все вместе идут к мэру который коллекционер редких банкнот, он говорит что это редкая банкнота прошлого века и что это банкнота из награбленного состояния семейной пары, которая грабила банки, их жизнь оборвалась когда они упали в речку когда уезжали от полиции, а остальные деньги они спрятали где то в шахте. Весь этот маленький городок начал искать этот клад, а мэр города для того чтобы найти клад быстрее всех украл собаку которая нашла эту банкноту, но не успел с помощью неё ничего украсть, потому что дядя с девочкой вернули собаку себе. Короче потом дядя и девочка вместе с собакой поехали к шахте, там откопали деньги, потом мэр который тоже охотился за деньгами, сломал машину дяди и украл деньги. Потом дядя позвонил девушке шерифу чтобы она погналась за ним, и сами тоже побежали за машиной мэра. В итоге мэр врезался куда то и его арестовали. В итоге девочка уехала домой к родителям, а дядя начал встречаться с шерифом, которая девушка, она ему нравилась ещё с начала фильма.",Охеренный сценарий сам написал?,"['Неплохо так написали.', 'Интересно, тоже не отказался бы такой фильм посмотреть. Может по актёру какому-нибудь вспомнить?']",https://otvet.mail.ru/question/231836953
,"Пожалуйста помогите найти очень интересный фильм. А ериканский фильм конец 80х или начало 90х о конце света и явлении Антихрист, которого помогает победить пожилая медиум афроамериканка, которую показывают в конце фильма. Они сидит на крыльце своего дома, перед ней вроде кукурузное поле, жара и она через гипноз ведёт выживших в апокалипсис, которые должны победить антихрист. Очень интересный фильм, помогите. В поиске выдают всякую порнографию..., а этот фильм словно намеренно прячут.",Сериал по С. Кингу- Противостояние,[],https://otvet.mail.ru/question/232859193
,"Всем привет, ищу фильм!! Помогите пожалуйста (\nЭтот фильм или по игре, или просто создан в стиле аниме но с 3дшной графикой!!! И показывался в кино раньше 2015 года(вроде), действие происходит в фентези мире, главная героиня (и герой) - эльфийка в зеленой одежде, блондинка, глаза кажется тоже зеленые, и обычный парень с коричневыми волосами которого воспитывал дед. Пацан равнялся на деда и хотел стать как он, дед умел своим криком вызывать ударную воздушную волну которая откидывала врагов но у парня никогда не получалось ее повторить (этот момент есть в аниме) Еще помню что эльфийка была в каких-то развалинах в которых были духи, этому уделяется нормально так времени и играет какую-то важную роль в фильме потом ниче не помню, ближе к концу дед умер кажется, а пацан увидел эльфийку без сознания на них надвигалась орда врагов и он закричал и всех врагов снесло нафиг этой взрывной волной конец не помню ПЕРСОНАЖИ ПРОТИВОСТОЯЛИ КАКОМУ-ТО ОГРОМНОМУ ДРАКОНУ (ВОЗМОЖНО ЧЁРНО-ФИОЛЕТОВОМУ ЕСЛИ ЕТО КАК-ТО ПОМОЖЕТ)",драгон нест?,['ШОу трумана'],https://otvet.mail.ru/question/230525168
Помогите найти фильм ужасов,"Фильм про особняк ,в который переехала семья  ,приехали они на машине,была дочка и младшый брат,внутри дома какое то было проклятие...или привидения там были,и прокляли семью,и в последнюю очередь отец хотел спасти ребенка маленького но не смог и стали все обречены.Очобняк кстати был с высоким забором и очень красивая природа...ее в начале фильма показали",Заклятие или паронормальныое явление.,[],https://otvet.mail.ru/question/230050750
Помогите найти фильм по моему описанию,Если ответ на поиск фильма,0,[],https://otvet.mail.ru/question/230007738
Помогите пожалуйста найти фильм,"Робокоп 2, реклама там была такая",0,[],https://otvet.mail.ru/question/233263560
Помогите найти фильм ужасов про квест,"Может кто смотрел фильм две девушки устраивают квест в доме, где мстят всём кто им не нравился (вроде так, давно смотрела, не помню точно) помню что в конце фильма они всех убивают и совершают самоубийство, но одна выживает",Может Мученицы?,"['Дом ужасов (2014)\\n https//www.kinopoisk.ru/film/772428/ \\nСЮЖЕТ ФИЛЬМА Студентки колледжа приглашают подружек отпраздновать Хэллоуин в специально оборудованном по случаю праздника доме. Но девушки слишком поздно понимают, насколько серьезны намерения хозяев...']",https://otvet.mail.ru/question/233378644
,"Не могу найти фильм. Смотрел один раз названия не знаю. Комедия, действия разворачиваются вокруг санатория с грязелечебницей. Запомнился один эпизод, когда ребятня тушила сигареты о проезжающие грузовые машины держа их во рту. Очень смешной фильм.",0,[],https://otvet.mail.ru/question/232263213
,"Сюжет фильма следующий Мужчина (писатель?) после смерти жены нашёл в доме книгу или дневник и узнал, что жена была ведьмой и была членом какого-то клана или круга могущественных ведьм. Вроде бы фильм из 4 серий. По жанру относится к мистике, фильму ужасов.  \nФильм зарубежный англоязычный (США или Великобритания вероятнее всего). Снят в 90-х или начале 2000-х.",похоже на \Следы ведьм\ / The Gathering (2007)\nhttps//www.kinopoisk.ru/series/411638/\nиз 2 серий,"['ведьмак 4', 'Ангелы Чарли', 'любой\\nгде бабы есть..']",https://otvet.mail.ru/question/228640253
Помогите найти фильм,"Сейчас в инсте наткнулся на фильм и благополучно забыл сделать скрин, чтобы найти по нему)) в общем там был кадр, где мужчина с женщиной покупали коктели, дали денег больше чем надо, и женщина сказала, что без сдачи. В итоге продавщица предупредила ее об какой то опасности, если они уедут, как только мужчина подошёл поближе, она сразу же сказала, хорошей дороги, до свидания.","Там, по моему, просто продавщица была порядочная и предупредила, что от её коктейлей может стошнить","['Думаю, как всё закончить (2020) \\n https//www.kinopoisk.ru/film/1219852/']",https://otvet.mail.ru/question/234112490
,"Перерыл все русскоязычные торрент-трекеры и сайты онлайн-просмотра фильмов. Вообще нигде не нашёл. А просмотр фильмов (по крайней мере, англоязычных) в озвучке не перевариваю. Подскажите, пожалуйста, может, я просто плохо ищу?","Вы этот фильм искали в РУнете, а хорошо было бы е поискать в англоязычном сегменте сети. Почти уверен, что на американских сайтах есть площадки со старыми бесплатными фильмами",[],https://otvet.mail.ru/question/232439203
Не могу найти найти фильм или сериал ужасов про серийного убийцу,"Всем привет, помогите найти старый и жестокий фильм ужасов. Как только не прошёлся по интернету, подбирая некоторые теги - найти его так и не смог. \nНа этот фильм я обратил внимание еще очень давно, смотря по телевизору (вроде как шел на канале тв-3), решил пересмотреть, но и не знаю как он называется, тем более увидел где-то на середине. \nТак вот, маньяк убивает жертв и вырывает у них зубы, показывались сцены с кучей кровищей и были также сцены видеозаписей, где кого-то душат пластиковым пакетом. К тому же, этот же маньяк похитил маленькую девочку (и вроде как у неё тоже вырывал зубы). Но в итоге её спас один детективов (или это отец точно не знаю). \nСам фильм похоже был снят где-то в 90х - 2000х годах (ну или даже позже). \nЖанр ужасы, триллер",был фильм ужасов дантист,[],https://otvet.mail.ru/question/232797432
Помогите найти фильм,"Если всё правильно помню, то в фильме главным антагонистом был мужик, у которого было (вроде) раздвоение личности, который убивал людей. При этом человек, которого он хотел убить начинал кашлять какой-то чёрной пылью. В конце он вроде-бы переселился в дочь главной героини и она поняла это, так как её дочь начала петь песню, которую пел этот мужик. Извиняюсь за такое размытое описание, я почти не помню о чём был фильм.",Убежище (2010)\n https//www.kinopoisk.ru/film/403783/,['Для чего? Вознаграждение будет?'],https://otvet.mail.ru/question/228805297
